TIME_GRANULARITY,TIME_D_VALUE,EFFECTIVE_MONTH,RECORD_TYPE,TERRITORY,DEALER_NUMBER,RETAIL_FINANCE_PENETRATIONS_T,RF_PENETRATIONS_PERC,RF_PENETRATIONS_RANK,RF_PENETRATIONS_RANK_N,CREDIT_INSURANCE_PERC_T,CREDIT_INS_PERC,CREDIT_INS_RANK,CREDIT_INS_RANK_N,LOAN_PERC_T,LOAN_PERC,LOAN_PERC_RANK,LOAN_PERC_RANK_N,LEASE_PERC_T,LEASE_PERC,LEASE_PERC_RANK,LEASE_PERC_RANK_N,PRE_APPROVAL_T,PREAPPROVED_PERC,PREAPPROVED_RANK,PREAPPROVED_RANK_N,AUTO_APPROVAL_T,AUTOAPPROVED_PERC,AUTOAPPROVED_RANK,AUTOAPPROVED_RANK_N,EXPIRED_APPROVALS_T,EXPIRED_APPROVED_APP_PERC,EXPIRED_APPROVED_APP_RANK,EXPIRED_APPROVED_APP_RANK_N,ESIGN_PDF_T,ESIGNED_PERC,ESIGNED_PERC_RANK,ESIGNED_PERC_RANK_N
MONTHLY,"Jan,2023",01-01-2023,T,130,,52-55%,66.2,1,,10%,9.73,2,,50%,26.55,,,50%,73.45,,,10%,8.85,4,,10%,1.77,9,,5%,0,1,,100%,31.86,10,
MONTHLY,"Mar,2024",01-03-2024,T,135,,52-55%,78.13,1,,10%,7.89,3,,50%,71.05,,,50%,28.95,,,10%,5.26,6,,10%,13.16,3,,5%,80.85,5,,100%,84.21,6,
MONTHLY,"Nov,2023",01-11-2023,T,100,,52-55%,63.83,6,,10%,7.5,3,,50%,87.5,,,50%,12.5,,,10%,2.5,9,,10%,10,4,,5%,68.27,9,,100%,85,9,
MONTHLY,"Oct,2023",01-10-2023,D,10,9400,52-55%,33.33,10,53,10%,0,1,16,50%,100,,,50%,0,,,10%,0,2,22,10%,0,5,42,5%,71.43,10,67,100%,100,1,1
MONTHLY,"Jun,2023",01-06-2023,D,60,25400,52-55%,60,7,36,10%,12.5,4,8,50%,87.5,,,50%,12.5,,,10%,0,5,25,10%,0,6,35,5%,0,1,1,100%,37.5,5,41
MONTHLY,"Jun,2023",01-06-2023,D,60,28000,52-55%,92.86,1,2,10%,0,7,15,50%,23.81,,,50%,76.19,,,10%,0,5,25,10%,33.33,1,4,5%,0,1,1,100%,4.76,9,60
MONTHLY,"Jul,2023",01-07-2023,D,10,200620,52-55%,55,4,32,10%,0,1,16,50%,92.86,,,50%,7.14,,,10%,0,3,22,10%,21.43,2,12,5%,33.33,5,28,100%,35.71,5,38
MONTHLY,"Jul,2023",01-07-2023,D,10,1700,52-55%,55.17,3,31,10%,0,1,16,50%,88.89,,,50%,11.11,,,10%,0,3,22,10%,0,5,34,5%,31.25,4,27,100%,66.67,3,20
MONTHLY,"Oct,2023",01-10-2023,D,65,142300,52-55%,56.52,9,35,10%,0,3,16,50%,66.67,,,50%,33.33,,,10%,0,5,22,10%,13.33,6,21,5%,63.79,15,59,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,65,118300,52-55%,0,15,61,10%,0,3,16,50%,0,,,50%,0,,,10%,0,5,22,10%,0,12,42,5%,0,1,1,100%,0,15,40
MONTHLY,"Jul,2023",01-07-2023,D,50,200860,52-55%,55.56,3,30,10%,0,1,16,50%,83.33,,,50%,16.67,,,10%,0,5,22,10%,0,6,34,5%,0,1,1,100%,83.33,5,11
MONTHLY,"Jul,2023",01-07-2023,D,50,11900,52-55%,22.22,10,62,10%,0,1,16,50%,71.43,,,50%,28.57,,,10%,14.29,3,9,10%,14.29,4,18,5%,0,1,1,100%,85.71,4,10
MONTHLY,"Apr,2023",01-04-2023,D,50,7100,52-55%,83.33,1,6,10%,0,1,15,50%,83.33,,,50%,16.67,,,10%,0,5,26,10%,16.67,3,9,5%,0,1,1,100%,66.67,5,18
MONTHLY,"Apr,2023",01-04-2023,D,50,2700,52-55%,50.85,5,37,10%,0,1,15,50%,100,,,50%,0,,,10%,2.7,4,25,10%,2.7,6,27,5%,0,1,1,100%,10.81,8,45
MONTHLY,"Apr,2023",01-04-2023,D,20,200570,52-55%,65.91,2,20,10%,0,1,15,50%,51.72,,,50%,48.28,,,10%,13.79,4,12,10%,13.79,3,12,5%,0,1,1,100%,55.17,6,24
